STATE_FIPS,STATE_CODE,STATE,COUNTY_FIPS,COUNTY
2,AK,#N/A,230,#VALUE!
2,AK,#N/A,240,#VALUE!
2,AK,#N/A,261,#VALUE!
2,AK,#N/A,270,#VALUE!
2,AK,#N/A,275,#VALUE!
2,AK,#N/A,282,#VALUE!
2,AK,#N/A,290,#VALUE!
4,AZ,Arizona,1,Apache 
4,AZ,Arizona,3,Cochise 
4,AZ,Arizona,5,Coconino 
4,AZ,Arizona,7,Gila 
4,AZ,Arizona,9,Graham 
4,AZ,Arizona,11,Greenlee 
4,AZ,Arizona,12,La Paz 
4,AZ,Arizona,13,Maricopa 
4,AZ,Arizona,15,Mohave 
4,AZ,Arizona,17,Navajo 
4,AZ,Arizona,19,Pima 
4,AZ,Arizona,21,Pinal 
4,AZ,Arizona,23,Santa Cruz 
4,AZ,Arizona,25,Yavapai 
4,AZ,Arizona,27,Yuma 
5,AR,Alaska,1,Arkansas 
5,AR,Alaska,3,Ashley 
5,AR,Alaska,5,Baxter 
5,AR,Alaska,7,Benton 
5,AR,Alaska,9,Boone 
5,AR,Alaska,11,Bradley 
5,AR,Alaska,13,Calhoun 
5,AR,Alaska,15,Carroll 
5,AR,Alaska,17,Chicot 
5,AR,Alaska,19,Clark 
5,AR,Alaska,21,Clay 
5,AR,Alaska,23,Cleburne 
5,AR,Alaska,25,Cleveland 
5,AR,Alaska,27,Columbia 
5,AR,Alaska,29,Conway 
5,AR,Alaska,31,Craighead 
5,AR,Alaska,33,Crawford 
5,AR,Alaska,35,Crittenden 
5,AR,Alaska,37,Cross 
5,AR,Alaska,39,Dallas 
5,AR,Alaska,41,Desha 
5,AR,Alaska,43,Drew 
5,AR,Alaska,45,Faulkner 
5,AR,Alaska,47,Franklin 
5,AR,Alaska,49,Fulton 
5,AR,Alaska,51,Garland 
5,AR,Alaska,53,Grant 
5,AR,Alaska,55,Greene 
5,AR,Alaska,57,Hempstead 
5,AR,Alaska,59,Hot Spring 
5,AR,Alaska,61,Howard 
5,AR,Alaska,63,Independence 
5,AR,Alaska,65,Izard 
5,AR,Alaska,67,Jackson 
5,AR,Alaska,69,Jefferson 
5,AR,Alaska,71,Johnson 
5,AR,Alaska,73,Lafayette 
5,AR,Alaska,75,Lawrence 
5,AR,Alaska,77,Lee 
5,AR,Alaska,79,Lincoln 
5,AR,Alaska,81,Little River 
5,AR,Alaska,83,Logan 
5,AR,Alaska,85,Lonoke 
5,AR,Alaska,87,Madison 
5,AR,Alaska,89,Marion 
5,AR,Alaska,91,Miller 
5,AR,Alaska,93,Mississippi 
5,AR,Alaska,95,Monroe 
5,AR,Alaska,97,Montgomery 
5,AR,Alaska,99,Nevada 
5,AR,Alaska,101,Newton 
5,AR,Alaska,103,Ouachita 
5,AR,Alaska,105,Perry 
5,AR,Alaska,107,Phillips 
5,AR,Alaska,109,Pike 
5,AR,Alaska,111,Poinsett 
5,AR,Alaska,113,Polk 
5,AR,Alaska,115,Pope 
5,AR,Alaska,117,Prairie 
5,AR,Alaska,119,Pulaski 
5,AR,Alaska,121,Randolph 
5,AR,Alaska,123,St. Francis 
5,AR,Alaska,125,Saline 
5,AR,Alaska,127,Scott 
5,AR,Alaska,129,Searcy 
5,AR,Alaska,131,Sebastian 
5,AR,Alaska,133,Sevier 
5,AR,Alaska,135,Sharp 
5,AR,Alaska,137,Stone 
5,AR,Alaska,139,Union 
5,AR,Alaska,141,Van Buren 
5,AR,Alaska,143,Washington 
5,AR,Alaska,145,White 
5,AR,Alaska,147,Woodruff 
5,AR,Alaska,149,Yell 
6,CA,California,1,Alameda 
6,CA,California,3,Alpine 
6,CA,California,5,Amador 
6,CA,California,7,Butte 
6,CA,California,9,Calaveras 
6,CA,California,11,Colusa 
6,CA,California,13,Contra Costa 
6,CA,California,15,Del Norte 
6,CA,California,17,El Dorado 
6,CA,California,19,Fresno 
6,CA,California,21,Glenn 
6,CA,California,23,Humboldt 
6,CA,California,25,Imperial 
6,CA,California,27,Inyo 
6,CA,California,29,Kern 
6,CA,California,31,Kings 
6,CA,California,33,Lake 
6,CA,California,35,Lassen 
6,CA,California,37,Los Angeles 
6,CA,California,39,Madera 
6,CA,California,41,Marin 
6,CA,California,43,Mariposa 
6,CA,California,45,Mendocino 
6,CA,California,47,Merced 
6,CA,California,49,Modoc 
6,CA,California,51,Mono 
6,CA,California,53,Monterey 
6,CA,California,55,Napa 
6,CA,California,57,Nevada 
6,CA,California,59,Orange 
6,CA,California,61,Placer 
6,CA,California,63,Plumas 
6,CA,California,65,Riverside 
6,CA,California,67,Sacramento 
6,CA,California,69,San Benito 
6,CA,California,71,San Bernardino 
6,CA,California,73,San Diego 
6,CA,California,75,San Francisco 
6,CA,California,77,San Joaquin 
6,CA,California,79,San Luis Obispo 
6,CA,California,81,San Mateo 
6,CA,California,83,Santa Barbara 
6,CA,California,85,Santa Clara 
6,CA,California,87,Santa Cruz 
6,CA,California,89,Shasta 
6,CA,California,91,Sierra 
6,CA,California,93,Siskiyou 
6,CA,California,95,Solano 
6,CA,California,97,Sonoma 
6,CA,California,99,Stanislaus 
6,CA,California,101,Sutter 
6,CA,California,103,Tehama 
6,CA,California,105,Trinity 
6,CA,California,107,Tulare 
6,CA,California,109,Tuolumne 
6,CA,California,111,Ventura 
6,CA,California,113,Yolo 
6,CA,California,115,Yuba 
8,CO,Colorado,1,Adams 
8,CO,Colorado,3,Alamosa 
8,CO,Colorado,5,Arapahoe 
8,CO,Colorado,7,Archuleta 
8,CO,Colorado,9,Baca 
8,CO,Colorado,11,Bent 
8,CO,Colorado,13,Boulder 
8,CO,Colorado,14,Broomfield 
8,CO,Colorado,15,Chaffee 
8,CO,Colorado,17,Cheyenne 
8,CO,Colorado,19,Clear Creek 
8,CO,Colorado,21,Conejos 
8,CO,Colorado,23,Costilla 
8,CO,Colorado,25,Crowley 
8,CO,Colorado,27,Custer 
8,CO,Colorado,29,Delta 
8,CO,Colorado,31,Denver 
8,CO,Colorado,33,Dolores 
8,CO,Colorado,35,Douglas 
8,CO,Colorado,37,Eagle 
8,CO,Colorado,39,Elbert 
8,CO,Colorado,41,El Paso 
8,CO,Colorado,43,Fremont 
8,CO,Colorado,45,Garfield 
8,CO,Colorado,47,Gilpin 
8,CO,Colorado,49,Grand 
8,CO,Colorado,51,Gunnison 
8,CO,Colorado,53,Hinsdale 
8,CO,Colorado,55,Huerfano 
8,CO,Colorado,57,Jackson 
8,CO,Colorado,59,Jefferson 
8,CO,Colorado,61,Kiowa 
8,CO,Colorado,63,Kit Carson 
8,CO,Colorado,65,Lake 
8,CO,Colorado,67,La Plata 
8,CO,Colorado,69,Larimer 
8,CO,Colorado,71,Las Animas 
8,CO,Colorado,73,Lincoln 
8,CO,Colorado,75,Logan 
8,CO,Colorado,77,Mesa 
8,CO,Colorado,79,Mineral 
8,CO,Colorado,81,Moffat 
8,CO,Colorado,83,Montezuma 
8,CO,Colorado,85,Montrose 
8,CO,Colorado,87,Morgan 
8,CO,Colorado,89,Otero 
8,CO,Colorado,91,Ouray 
8,CO,Colorado,93,Park 
8,CO,Colorado,95,Phillips 
8,CO,Colorado,97,Pitkin 
8,CO,Colorado,99,Prowers 
8,CO,Colorado,101,Pueblo 
8,CO,Colorado,103,Rio Blanco 
8,CO,Colorado,105,Rio Grande 
8,CO,Colorado,107,Routt 
8,CO,Colorado,109,Saguache 
8,CO,Colorado,111,San Juan 
8,CO,Colorado,113,San Miguel 
8,CO,Colorado,115,Sedgwick 
8,CO,Colorado,117,Summit 
8,CO,Colorado,119,Teller 
8,CO,Colorado,121,Washington 
8,CO,Colorado,123,Weld 
8,CO,Colorado,125,Yuma 
9,CT,Connecticut,1,Fairfield 
9,CT,Connecticut,3,Hartford 
9,CT,Connecticut,5,Litchfield 
9,CT,Connecticut,7,Middlesex 
9,CT,Connecticut,9,New Haven 
9,CT,Connecticut,11,New London 
9,CT,Connecticut,13,Tolland 
9,CT,Connecticut,15,Windham 
10,DE,District of Columbia,1,Kent 
10,DE,District of Columbia,3,New Castle 
10,DE,District of Columbia,5,Sussex 
11,DC,District of Columbia,1,#VALUE!
12,FL,Florida,1,Alachua 
12,FL,Florida,3,Baker 
12,FL,Florida,5,Bay 
12,FL,Florida,7,Bradford 
12,FL,Florida,9,Brevard 
12,FL,Florida,11,Broward 
12,FL,Florida,13,Calhoun 
12,FL,Florida,15,Charlotte 
12,FL,Florida,17,Citrus 
12,FL,Florida,19,Clay 
12,FL,Florida,21,Collier 
12,FL,Florida,23,Columbia 
12,FL,Florida,27,DeSoto 
12,FL,Florida,29,Dixie 
12,FL,Florida,31,Duval 
12,FL,Florida,33,Escambia 
12,FL,Florida,35,Flagler 
12,FL,Florida,37,Franklin 
12,FL,Florida,39,Gadsden 
12,FL,Florida,41,Gilchrist 
12,FL,Florida,43,Glades 
12,FL,Florida,45,Gulf 
12,FL,Florida,47,Hamilton 
12,FL,Florida,49,Hardee 
12,FL,Florida,51,Hendry 
12,FL,Florida,53,Hernando 
12,FL,Florida,55,Highlands 
12,FL,Florida,57,Hillsborough 
12,FL,Florida,59,Holmes 
12,FL,Florida,61,Indian River 
12,FL,Florida,63,Jackson 
12,FL,Florida,65,Jefferson 
12,FL,Florida,67,Lafayette 
12,FL,Florida,69,Lake 
12,FL,Florida,71,Lee 
12,FL,Florida,73,Leon 
12,FL,Florida,75,Levy 
12,FL,Florida,77,Liberty 
12,FL,Florida,79,Madison 
12,FL,Florida,81,Manatee 
12,FL,Florida,83,Marion 
12,FL,Florida,85,Martin 
12,FL,Florida,86,Miami-Dade 
12,FL,Florida,87,Monroe 
12,FL,Florida,89,Nassau 
12,FL,Florida,91,Okaloosa 
12,FL,Florida,93,Okeechobee 
12,FL,Florida,95,Orange 
12,FL,Florida,97,Osceola 
12,FL,Florida,99,Palm Beach 
12,FL,Florida,101,Pasco 
12,FL,Florida,103,Pinellas 
12,FL,Florida,105,Polk 
12,FL,Florida,107,Putnam 
12,FL,Florida,109,St. Johns 
12,FL,Florida,111,St. Lucie 
12,FL,Florida,113,Santa Rosa 
12,FL,Florida,115,Sarasota 
12,FL,Florida,117,Seminole 
12,FL,Florida,119,Sumter 
12,FL,Florida,121,Suwannee 
12,FL,Florida,123,Taylor 
12,FL,Florida,125,Union 
12,FL,Florida,127,Volusia 
12,FL,Florida,129,Wakulla 
12,FL,Florida,131,Walton 
12,FL,Florida,133,Washington 
13,GA,Georgia,1,Appling 
13,GA,Georgia,3,Atkinson 
13,GA,Georgia,5,Bacon 
13,GA,Georgia,7,Baker 
13,GA,Georgia,9,Baldwin 
13,GA,Georgia,11,Banks 
13,GA,Georgia,13,Barrow 
13,GA,Georgia,15,Bartow 
13,GA,Georgia,17,Ben Hill 
13,GA,Georgia,19,Berrien 
13,GA,Georgia,21,Bibb 
13,GA,Georgia,23,Bleckley 
13,GA,Georgia,25,Brantley 
13,GA,Georgia,27,Brooks 
13,GA,Georgia,29,Bryan 
13,GA,Georgia,31,Bulloch 
13,GA,Georgia,33,Burke 
13,GA,Georgia,35,Butts 
13,GA,Georgia,37,Calhoun 
13,GA,Georgia,39,Camden 
13,GA,Georgia,43,Candler 
13,GA,Georgia,45,Carroll 
13,GA,Georgia,47,Catoosa 
13,GA,Georgia,49,Charlton 
13,GA,Georgia,51,Chatham 
13,GA,Georgia,53,Chattahoochee 
13,GA,Georgia,55,Chattooga 
13,GA,Georgia,57,Cherokee 
13,GA,Georgia,59,Clarke 
13,GA,Georgia,61,Clay 
13,GA,Georgia,63,Clayton 
13,GA,Georgia,65,Clinch 
13,GA,Georgia,67,Cobb 
13,GA,Georgia,69,Coffee 
13,GA,Georgia,71,Colquitt 
13,GA,Georgia,73,Columbia 
13,GA,Georgia,75,Cook 
13,GA,Georgia,77,Coweta 
13,GA,Georgia,79,Crawford 
13,GA,Georgia,81,Crisp 
13,GA,Georgia,83,Dade 
13,GA,Georgia,85,Dawson 
13,GA,Georgia,87,Decatur 
13,GA,Georgia,89,DeKalb 
13,GA,Georgia,91,Dodge 
13,GA,Georgia,93,Dooly 
13,GA,Georgia,95,Dougherty 
13,GA,Georgia,97,Douglas 
13,GA,Georgia,99,Early 
13,GA,Georgia,101,Echols 
13,GA,Georgia,103,Effingham 
13,GA,Georgia,105,Elbert 
13,GA,Georgia,107,Emanuel 
13,GA,Georgia,109,Evans 
13,GA,Georgia,111,Fannin 
13,GA,Georgia,113,Fayette 
13,GA,Georgia,115,Floyd 
13,GA,Georgia,117,Forsyth 
13,GA,Georgia,119,Franklin 
13,GA,Georgia,121,Fulton 
13,GA,Georgia,123,Gilmer 
13,GA,Georgia,125,Glascock 
13,GA,Georgia,127,Glynn 
13,GA,Georgia,129,Gordon 
13,GA,Georgia,131,Grady 
13,GA,Georgia,133,Greene 
13,GA,Georgia,135,Gwinnett 
13,GA,Georgia,137,Habersham 
13,GA,Georgia,139,Hall 
13,GA,Georgia,141,Hancock 
13,GA,Georgia,143,Haralson 
13,GA,Georgia,145,Harris 
13,GA,Georgia,147,Hart 
13,GA,Georgia,149,Heard 
13,GA,Georgia,151,Henry 
13,GA,Georgia,153,Houston 
13,GA,Georgia,155,Irwin 
13,GA,Georgia,157,Jackson 
13,GA,Georgia,159,Jasper 
13,GA,Georgia,161,Jeff Davis 
13,GA,Georgia,163,Jefferson 
13,GA,Georgia,165,Jenkins 
13,GA,Georgia,167,Johnson 
13,GA,Georgia,169,Jones 
13,GA,Georgia,171,Lamar 
13,GA,Georgia,173,Lanier 
13,GA,Georgia,175,Laurens 
13,GA,Georgia,177,Lee 
13,GA,Georgia,179,Liberty 
13,GA,Georgia,181,Lincoln 
13,GA,Georgia,183,Long 
13,GA,Georgia,185,Lowndes 
13,GA,Georgia,187,Lumpkin 
13,GA,Georgia,189,McDuffie 
13,GA,Georgia,191,McIntosh 
13,GA,Georgia,193,Macon 
13,GA,Georgia,195,Madison 
13,GA,Georgia,197,Marion 
13,GA,Georgia,199,Meriwether 
13,GA,Georgia,201,Miller 
13,GA,Georgia,205,Mitchell 
13,GA,Georgia,207,Monroe 
13,GA,Georgia,209,Montgomery 
13,GA,Georgia,211,Morgan 
13,GA,Georgia,213,Murray 
13,GA,Georgia,215,Muscogee 
13,GA,Georgia,217,Newton 
13,GA,Georgia,219,Oconee 
13,GA,Georgia,221,Oglethorpe 
13,GA,Georgia,223,Paulding 
13,GA,Georgia,225,Peach 
13,GA,Georgia,227,Pickens 
13,GA,Georgia,229,Pierce 
13,GA,Georgia,231,Pike 
13,GA,Georgia,233,Polk 
13,GA,Georgia,235,Pulaski 
13,GA,Georgia,237,Putnam 
13,GA,Georgia,239,Quitman 
13,GA,Georgia,241,Rabun 
13,GA,Georgia,243,Randolph 
13,GA,Georgia,245,Richmond 
13,GA,Georgia,247,Rockdale 
13,GA,Georgia,249,Schley 
13,GA,Georgia,251,Screven 
13,GA,Georgia,253,Seminole 
13,GA,Georgia,255,Spalding 
13,GA,Georgia,257,Stephens 
13,GA,Georgia,259,Stewart 
13,GA,Georgia,261,Sumter 
13,GA,Georgia,263,Talbot 
13,GA,Georgia,265,Taliaferro 
13,GA,Georgia,267,Tattnall 
13,GA,Georgia,269,Taylor 
13,GA,Georgia,271,Telfair 
13,GA,Georgia,273,Terrell 
13,GA,Georgia,275,Thomas 
13,GA,Georgia,277,Tift 
13,GA,Georgia,279,Toombs 
13,GA,Georgia,281,Towns 
13,GA,Georgia,283,Treutlen 
13,GA,Georgia,285,Troup 
13,GA,Georgia,287,Turner 
13,GA,Georgia,289,Twiggs 
13,GA,Georgia,291,Union 
13,GA,Georgia,293,Upson 
13,GA,Georgia,295,Walker 
13,GA,Georgia,297,Walton 
13,GA,Georgia,299,Ware 
13,GA,Georgia,301,Warren 
13,GA,Georgia,303,Washington 
13,GA,Georgia,305,Wayne 
13,GA,Georgia,307,Webster 
13,GA,Georgia,309,Wheeler 
13,GA,Georgia,311,White 
13,GA,Georgia,313,Whitfield 
13,GA,Georgia,315,Wilcox 
13,GA,Georgia,317,Wilkes 
13,GA,Georgia,319,Wilkinson 
13,GA,Georgia,321,Worth 
15,HI,Hawaii,1,Hawaii 
15,HI,Hawaii,3,Honolulu 
15,HI,Hawaii,5,Kalawao 
15,HI,Hawaii,7,Kauai 
15,HI,Hawaii,9,Maui 
16,ID,Idaho,1,Ada 
16,ID,Idaho,3,Adams 
16,ID,Idaho,5,Bannock 
16,ID,Idaho,7,Bear Lake 
16,ID,Idaho,9,Benewah 
16,ID,Idaho,11,Bingham 
16,ID,Idaho,13,Blaine 
16,ID,Idaho,15,Boise 
16,ID,Idaho,17,Bonner 
16,ID,Idaho,19,Bonneville 
16,ID,Idaho,21,Boundary 
16,ID,Idaho,23,Butte 
16,ID,Idaho,25,Camas 
16,ID,Idaho,27,Canyon 
16,ID,Idaho,29,Caribou 
16,ID,Idaho,31,Cassia 
16,ID,Idaho,33,Clark 
16,ID,Idaho,35,Clearwater 
16,ID,Idaho,37,Custer 
16,ID,Idaho,39,Elmore 
16,ID,Idaho,41,Franklin 
16,ID,Idaho,43,Fremont 
16,ID,Idaho,45,Gem 
16,ID,Idaho,47,Gooding 
16,ID,Idaho,49,Idaho 
16,ID,Idaho,51,Jefferson 
16,ID,Idaho,53,Jerome 
16,ID,Idaho,55,Kootenai 
16,ID,Idaho,57,Latah 
16,ID,Idaho,59,Lemhi 
16,ID,Idaho,61,Lewis 
16,ID,Idaho,63,Lincoln 
16,ID,Idaho,65,Madison 
16,ID,Idaho,67,Minidoka 
16,ID,Idaho,69,Nez Perce 
16,ID,Idaho,71,Oneida 
16,ID,Idaho,73,Owyhee 
16,ID,Idaho,75,Payette 
16,ID,Idaho,77,Power 
16,ID,Idaho,79,Shoshone 
16,ID,Idaho,81,Teton 
16,ID,Idaho,83,Twin Falls 
16,ID,Idaho,85,Valley 
16,ID,Idaho,87,Washington 
17,IL,Iowa,1,Adams 
17,IL,Iowa,3,Alexander 
17,IL,Iowa,5,Bond 
17,IL,Iowa,7,Boone 
17,IL,Iowa,9,Brown 
17,IL,Iowa,11,Bureau 
17,IL,Iowa,13,Calhoun 
17,IL,Iowa,15,Carroll 
17,IL,Iowa,17,Cass 
17,IL,Iowa,19,Champaign 
17,IL,Iowa,21,Christian 
17,IL,Iowa,23,Clark 
17,IL,Iowa,25,Clay 
17,IL,Iowa,27,Clinton 
17,IL,Iowa,29,Coles 
17,IL,Iowa,31,Cook 
17,IL,Iowa,33,Crawford 
17,IL,Iowa,35,Cumberland 
17,IL,Iowa,37,DeKalb 
17,IL,Iowa,39,De Witt 
17,IL,Iowa,41,Douglas 
17,IL,Iowa,43,DuPage 
17,IL,Iowa,45,Edgar 
17,IL,Iowa,47,Edwards 
17,IL,Iowa,49,Effingham 
17,IL,Iowa,51,Fayette 
17,IL,Iowa,53,Ford 
17,IL,Iowa,55,Franklin 
17,IL,Iowa,57,Fulton 
17,IL,Iowa,59,Gallatin 
17,IL,Iowa,61,Greene 
17,IL,Iowa,63,Grundy 
17,IL,Iowa,65,Hamilton 
17,IL,Iowa,67,Hancock 
17,IL,Iowa,69,Hardin 
17,IL,Iowa,71,Henderson 
17,IL,Iowa,73,Henry 
17,IL,Iowa,75,Iroquois 
17,IL,Iowa,77,Jackson 
17,IL,Iowa,79,Jasper 
17,IL,Iowa,81,Jefferson 
17,IL,Iowa,83,Jersey 
17,IL,Iowa,85,Jo Daviess 
17,IL,Iowa,87,Johnson 
17,IL,Iowa,89,Kane 
17,IL,Iowa,91,Kankakee 
17,IL,Iowa,93,Kendall 
17,IL,Iowa,95,Knox 
17,IL,Iowa,97,Lake 
17,IL,Iowa,99,LaSalle 
17,IL,Iowa,101,Lawrence 
17,IL,Iowa,103,Lee 
17,IL,Iowa,105,Livingston 
17,IL,Iowa,107,Logan 
17,IL,Iowa,109,McDonough 
17,IL,Iowa,111,McHenry 
17,IL,Iowa,113,McLean 
17,IL,Iowa,115,Macon 
17,IL,Iowa,117,Macoupin 
17,IL,Iowa,119,Madison 
17,IL,Iowa,121,Marion 
17,IL,Iowa,123,Marshall 
17,IL,Iowa,125,Mason 
17,IL,Iowa,127,Massac 
17,IL,Iowa,129,Menard 
17,IL,Iowa,131,Mercer 
17,IL,Iowa,133,Monroe 
17,IL,Iowa,135,Montgomery 
17,IL,Iowa,137,Morgan 
17,IL,Iowa,139,Moultrie 
17,IL,Iowa,141,Ogle 
17,IL,Iowa,143,Peoria 
17,IL,Iowa,145,Perry 
17,IL,Iowa,147,Piatt 
17,IL,Iowa,149,Pike 
17,IL,Iowa,151,Pope 
17,IL,Iowa,153,Pulaski 
17,IL,Iowa,155,Putnam 
17,IL,Iowa,157,Randolph 
17,IL,Iowa,159,Richland 
17,IL,Iowa,161,Rock Island 
17,IL,Iowa,163,St. Clair 
17,IL,Iowa,165,Saline 
17,IL,Iowa,167,Sangamon 
17,IL,Iowa,169,Schuyler 
17,IL,Iowa,171,Scott 
17,IL,Iowa,173,Shelby 
17,IL,Iowa,175,Stark 
17,IL,Iowa,177,Stephenson 
17,IL,Iowa,179,Tazewell 
17,IL,Iowa,181,Union 
17,IL,Iowa,183,Vermilion 
17,IL,Iowa,185,Wabash 
17,IL,Iowa,187,Warren 
17,IL,Iowa,189,Washington 
17,IL,Iowa,191,Wayne 
17,IL,Iowa,193,White 
17,IL,Iowa,195,Whiteside 
17,IL,Iowa,197,Will 
17,IL,Iowa,199,Williamson 
17,IL,Iowa,201,Winnebago 
17,IL,Iowa,203,Woodford 
18,IN,Iowa,1,Adams 
18,IN,Iowa,3,Allen 
18,IN,Iowa,5,Bartholomew 
18,IN,Iowa,7,Benton 
18,IN,Iowa,9,Blackford 
18,IN,Iowa,11,Boone 
18,IN,Iowa,13,Brown 
18,IN,Iowa,15,Carroll 
18,IN,Iowa,17,Cass 
18,IN,Iowa,19,Clark 
18,IN,Iowa,21,Clay 
18,IN,Iowa,23,Clinton 
18,IN,Iowa,25,Crawford 
18,IN,Iowa,27,Daviess 
18,IN,Iowa,29,Dearborn 
18,IN,Iowa,31,Decatur 
18,IN,Iowa,33,DeKalb 
18,IN,Iowa,35,Delaware 
18,IN,Iowa,37,Dubois 
18,IN,Iowa,39,Elkhart 
18,IN,Iowa,41,Fayette 
18,IN,Iowa,43,Floyd 
18,IN,Iowa,45,Fountain 
18,IN,Iowa,47,Franklin 
18,IN,Iowa,49,Fulton 
18,IN,Iowa,51,Gibson 
18,IN,Iowa,53,Grant 
18,IN,Iowa,55,Greene 
18,IN,Iowa,57,Hamilton 
18,IN,Iowa,59,Hancock 
18,IN,Iowa,61,Harrison 
18,IN,Iowa,63,Hendricks 
18,IN,Iowa,65,Henry 
18,IN,Iowa,67,Howard 
18,IN,Iowa,69,Huntington 
18,IN,Iowa,71,Jackson 
18,IN,Iowa,73,Jasper 
18,IN,Iowa,75,Jay 
18,IN,Iowa,77,Jefferson 
18,IN,Iowa,79,Jennings 
18,IN,Iowa,81,Johnson 
18,IN,Iowa,83,Knox 
18,IN,Iowa,85,Kosciusko 
18,IN,Iowa,87,LaGrange 
18,IN,Iowa,89,Lake 
18,IN,Iowa,91,LaPorte 
18,IN,Iowa,93,Lawrence 
18,IN,Iowa,95,Madison 
18,IN,Iowa,97,Marion 
18,IN,Iowa,99,Marshall 
18,IN,Iowa,101,Martin 
18,IN,Iowa,103,Miami 
18,IN,Iowa,105,Monroe 
18,IN,Iowa,107,Montgomery 
18,IN,Iowa,109,Morgan 
18,IN,Iowa,111,Newton 
18,IN,Iowa,113,Noble 
18,IN,Iowa,115,Ohio 
18,IN,Iowa,117,Orange 
18,IN,Iowa,119,Owen 
18,IN,Iowa,121,Parke 
18,IN,Iowa,123,Perry 
18,IN,Iowa,125,Pike 
18,IN,Iowa,127,Porter 
18,IN,Iowa,129,Posey 
18,IN,Iowa,131,Pulaski 
18,IN,Iowa,133,Putnam 
18,IN,Iowa,135,Randolph 
18,IN,Iowa,137,Ripley 
18,IN,Iowa,139,Rush 
18,IN,Iowa,141,St. Joseph 
18,IN,Iowa,143,Scott 
18,IN,Iowa,145,Shelby 
18,IN,Iowa,147,Spencer 
18,IN,Iowa,149,Starke 
18,IN,Iowa,151,Steuben 
18,IN,Iowa,153,Sullivan 
18,IN,Iowa,155,Switzerland 
18,IN,Iowa,157,Tippecanoe 
18,IN,Iowa,159,Tipton 
18,IN,Iowa,161,Union 
18,IN,Iowa,163,Vanderburgh 
18,IN,Iowa,165,Vermillion 
18,IN,Iowa,167,Vigo 
18,IN,Iowa,169,Wabash 
